City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tazovsky,67.4667,78.7,-25.55,99,69,4.51,RU,1712696040
1,port mathurin,-19.6833,63.4167,26.81,74,0,3.24,MU,1712696040
2,mzimba,-11.9,33.6,17.32,95,14,2.62,MW,1712696041
3,constantia,44.1833,28.65,10.39,78,0,2.23,RO,1712695957
4,jamestown,42.097,-79.2353,23.07,43,40,5.66,US,1712695859
5,dudinka,69.4058,86.1778,-22.12,96,100,5.64,RU,1712696041
6,coahuayana de hidalgo,18.7,-103.6583,30.35,43,3,3.58,MX,1712696041
7,niafunke,15.9322,-3.9906,35.57,16,0,2.29,ML,1712696041
8,port-aux-francais,-49.35,70.2167,8.54,94,100,17.02,TF,1712696041
9,vadso,70.0744,29.7487,-1.51,86,40,4.63,NO,1712696041
10,luena,-11.7833,19.9167,22.1,94,97,0.0,AO,1712696041
11,edinburgh of the seven seas,-37.0676,-12.3116,18.53,90,100,7.06,SH,1712696042
12,road town,18.4167,-64.6167,28.02,65,40,6.69,VG,1712695876
13,college,64.8569,-147.8028,2.27,52,75,2.57,US,1712696042
14,gadzhiyevo,69.2551,33.3362,-3.58,90,100,1.66,RU,1712696042
15,longyearbyen,78.2186,15.6401,-10.09,85,75,0.0,SJ,1712696042
16,waitangi,-43.9535,-176.5597,16.57,90,33,3.58,NZ,1712696042
17,karratha,-20.7377,116.8463,24.34,49,100,13.03,AU,1712696042
18,port elizabeth,-33.918,25.5701,17.83,94,25,4.02,ZA,1712696042
19,kerikeri,-35.2268,173.9474,21.06,88,77,4.47,NZ,1712696042
20,adamstown,-25.066,-130.1015,23.63,79,39,2.56,PN,1712696042
21,lexington park,38.2668,-76.4538,24.47,51,100,4.63,US,1712696043
22,stanley,54.868,-1.6985,6.55,79,20,8.23,GB,1712696043
23,bamboo flat,11.7,92.7167,28.05,89,20,1.03,IN,1712696043
24,punta arenas,-53.15,-70.9167,8.06,53,40,8.75,CL,1712696039
25,katsuren-haebaru,26.3369,127.8719,20.01,79,20,5.66,JP,1712696043
26,gargalianoi,37.0667,21.6333,16.86,77,5,3.68,GR,1712696043
27,uturoa,-16.7333,-151.4333,28.86,75,98,6.08,PF,1712696043
28,vitoria de santo antao,-8.1181,-35.2914,27.07,82,86,4.2,BR,1712696043
29,lewiston orchards,46.3804,-116.9754,15.48,51,100,1.54,US,1712696043
30,albany,42.6001,-73.9662,23.1,27,57,1.25,US,1712696044
31,kingston,17.997,-76.7936,30.53,71,40,11.83,JM,1712695574
32,remire-montjoly,4.9167,-52.2667,27.02,94,75,1.54,GF,1712696044
33,hermanus,-34.4187,19.2345,14.89,84,97,3.35,ZA,1712696044
34,susuman,62.7833,148.1667,-21.68,100,96,0.89,RU,1712696044
35,dryden,49.7833,-92.7503,5.16,93,100,2.57,CA,1712696044
36,weno,7.4515,151.8468,28.97,84,75,6.17,FM,1712696044
37,port lincoln,-34.7333,135.8667,14.32,69,100,1.7,AU,1712696044
38,tiksi,71.6872,128.8694,-17.58,98,100,2.56,RU,1712696044
39,nadym,65.5333,72.5167,-24.46,97,8,3.85,RU,1712696044
40,copiapo,-27.3667,-70.3333,17.83,31,3,2.19,CL,1712695613
41,muravlenko,63.7898,74.523,-23.47,95,6,4.18,RU,1712696045
42,happy valley-goose bay,53.3168,-60.3315,-1.83,54,100,5.14,CA,1712695991
43,bethel,41.3712,-73.414,24.66,34,0,2.57,US,1712696012
44,luderitz,-26.6481,15.1594,18.52,66,0,8.45,NA,1712696045
45,kununurra,-15.7667,128.7333,19.99,68,82,1.54,AU,1712695762
46,great yarmouth,52.6083,1.7305,10.14,68,100,9.96,GB,1712696045
47,avarua,-21.2078,-159.775,26.03,89,75,4.63,CK,1712695828
48,bredasdorp,-34.5322,20.0403,16.72,86,71,4.0,ZA,1712696045
49,krasnyy chikoy,50.3643,108.7512,0.85,93,9,1.16,RU,1712696045
50,ancud,-41.8697,-73.8203,11.81,62,58,4.52,CL,1712695799
51,vorgashor,67.5833,63.95,-30.1,100,56,1.4,RU,1712696046
52,talnakh,69.4865,88.3972,-24.59,99,99,3.83,RU,1712696046
53,nha trang,12.25,109.1833,28.0,88,37,2.31,VN,1712696046
54,ponta delgada,37.7333,-25.6667,18.44,94,75,6.17,PT,1712696046
55,iqaluit,63.7506,-68.5145,-6.15,79,100,1.54,CA,1712696046
56,yellowknife,62.456,-114.3525,7.29,45,20,3.09,CA,1712695947
57,greymouth,-42.4667,171.2,16.56,90,100,4.65,NZ,1712696046
58,isafjordur,66.0755,-23.124,-2.09,91,100,3.04,IS,1712696046
59,grytviken,-54.2811,-36.5092,2.87,88,100,6.34,GS,1712696046
60,kingscliff,-28.2667,153.5667,17.65,63,5,2.57,AU,1712696046
61,taoudenni,22.6783,-3.9836,32.9,14,0,3.74,ML,1712696046
62,ujae,8.9322,165.7642,27.73,82,100,9.58,MH,1712696047
63,la ronge,55.1001,-105.2842,14.12,40,75,2.57,CA,1712696047
64,puerto natales,-51.7236,-72.4875,9.25,53,40,10.8,CL,1712696047
65,vuktyl,63.8567,57.3094,-10.04,95,100,1.0,RU,1712696047
66,fort mcmurray,56.7268,-111.381,14.77,30,40,5.14,CA,1712696047
67,choibalsan,48.0667,114.5,4.06,56,53,2.78,MN,1712696047
68,yuzhno-kurilsk,44.0306,145.8556,1.32,98,84,9.59,RU,1712696047
69,ushuaia,-54.8,-68.3,4.81,70,75,11.32,AR,1712696047
70,kapuskasing,49.4169,-82.4331,9.05,93,100,4.63,CA,1712695912
71,teluk nibung,3.001,99.8164,24.39,97,100,1.95,ID,1712696048
72,bontang,0.1333,117.5,25.98,88,100,4.69,ID,1712696048
73,badger,64.8,-147.5333,2.22,57,75,2.57,US,1712696048
74,san jose de jachal,-30.2406,-68.7469,23.06,36,4,4.4,AR,1712696003
75,hamilton,39.1834,-84.5333,20.11,82,100,7.2,US,1712695864
76,ust-nera,64.5667,143.2,-14.48,98,82,1.52,RU,1712696048
77,pyapon,16.2833,95.6833,28.19,68,63,2.35,MM,1712696048
78,west bay,19.3667,-81.4167,30.04,66,40,7.72,KY,1712695850
79,cuyo,10.8525,121.0086,28.3,78,98,8.79,PH,1712696048
80,dadukou,26.5479,101.7054,16.92,41,73,1.4,CN,1712696049
81,omdurman,15.6445,32.4777,29.3,6,6,6.67,SD,1712696049
82,east london,-33.0153,27.9116,19.53,90,100,9.07,ZA,1712696049
83,olonkinbyen,70.9221,-8.7187,-2.79,86,34,6.18,SJ,1712696049
84,tazacorte,28.629,-17.9293,18.54,86,0,8.75,ES,1712696049
85,stephenville,32.2207,-98.2023,17.7,88,100,5.14,US,1712695971
86,emerald,-23.5333,148.1667,15.19,65,4,4.52,AU,1712696049
87,puerto ayora,-0.7393,-90.3518,29.98,91,35,2.24,EC,1712696049
88,jacmel,18.2342,-72.5347,28.1,71,47,3.53,HT,1712695915
89,cabo san lucas,22.8909,-109.9124,24.54,53,0,4.12,MX,1712696027
90,san patricio,28.017,-97.5169,32.87,59,61,8.15,US,1712696050
91,altamont,42.2068,-121.7372,17.72,47,0,1.79,US,1712696050
92,daruvar,45.5906,17.225,17.03,68,99,1.57,HR,1712696050
93,alesund,62.4723,6.1549,8.51,87,75,6.17,NO,1712695872
94,goba,7.0167,39.9833,11.86,88,17,1.94,ET,1712696050
95,callao,-12.0667,-77.15,25.16,69,0,5.14,PE,1712696020
96,mejit,10.2753,170.8646,26.96,84,93,9.51,MH,1712696050
97,san fernando de apure,7.8878,-67.4724,38.2,21,56,3.89,VE,1712696050
98,maxixe,-23.8597,35.3472,24.51,88,79,4.87,MZ,1712696050
99,blackmans bay,-43.0167,147.3167,8.18,91,54,0.89,AU,1712696051
100,margaret river,-33.95,115.0667,12.74,80,30,5.56,AU,1712695824
101,papao,-17.75,-149.55,29.82,79,100,5.88,PF,1712696051
102,acapulco de juarez,16.8634,-99.8901,26.41,61,66,5.14,MX,1712695833
103,west island,-12.1568,96.8225,26.99,74,40,7.2,CC,1712696051
104,maragogi,-9.0122,-35.2225,26.08,87,96,3.86,BR,1712695997
105,kupang,-10.1667,123.5833,26.32,100,65,1.54,ID,1712696051
106,bilibino,68.0546,166.4372,-9.59,92,100,1.28,RU,1712696051
107,awjilah,29.1081,21.2869,17.82,47,39,4.46,LY,1712696051
108,pacasmayo,-7.4006,-79.5714,24.36,72,13,6.93,PE,1712696051
109,borazjan,29.2666,51.2159,27.17,41,0,0.18,IR,1712696051
110,todos santos,23.45,-110.2167,24.61,70,0,6.11,MX,1712696052
111,illizi,26.4833,8.4667,31.89,14,99,4.53,DZ,1712696052
112,mugia,43.1041,-9.2179,12.17,65,100,1.59,ES,1712696052
113,wailua homesteads,22.0669,-159.378,25.24,77,0,7.2,US,1712696052
114,humaita,-7.5061,-63.0208,27.29,93,100,1.47,BR,1712696052
115,ialibu,-6.2821,143.9935,15.23,99,100,0.59,PG,1712696052
116,port douglas,-16.4833,145.4667,26.02,80,99,2.16,AU,1712696052
117,tolanaro,-25.0319,46.9987,26.04,89,20,6.17,MG,1712696052
118,saucillo,28.0167,-105.2833,25.01,7,0,14.99,MX,1712696052
119,dalandzadgad,43.5708,104.425,7.9,29,1,3.07,MN,1712696052
120,glace bay,46.1969,-59.957,2.72,73,75,12.86,CA,1712696052
121,brookings,44.3114,-96.7984,16.21,46,40,7.72,US,1712695857
122,velikiye luki,56.34,30.5452,15.18,92,18,0.65,RU,1712696053
123,corinto,37.9407,22.9573,16.8,49,0,0.82,GR,1712696053
124,turkmenbasy,40.0222,52.9552,11.43,82,0,1.03,TM,1712695878
125,jampur,29.6441,70.5954,28.41,11,80,1.89,PK,1712696053
126,el charco,2.4769,-78.1105,29.13,74,59,3.78,CO,1712696053
127,coquimbo,-29.9533,-71.3436,15.85,88,40,5.14,CL,1712696036
128,battlefield,37.1156,-93.3702,21.12,54,100,3.13,US,1712696053
129,whitehorse,60.7161,-135.0538,5.61,35,75,5.14,CA,1712696053
130,asipovichy,53.2933,28.6422,14.46,68,15,2.31,BY,1712696053
131,wanning,18.8003,110.3967,25.06,94,100,1.82,CN,1712696054
132,tadine,-21.55,167.8833,26.52,84,84,4.65,NC,1712696054
133,la passe,45.5549,-0.8967,10.55,78,7,5.46,FR,1712696054
134,porto velho,-8.7619,-63.9039,33.03,58,40,1.54,BR,1712695936
135,howard springs,-12.497,131.047,23.95,75,92,2.64,AU,1712696054
136,esmeralda,21.8525,-78.1169,28.72,45,55,5.43,CU,1712696054
137,saipan,15.1355,145.701,27.39,83,40,8.75,MP,1712696054
138,portland,45.5234,-122.6762,18.64,69,75,3.6,US,1712695499
139,lop buri,14.7981,100.654,29.13,65,79,1.33,TH,1712696054
140,rabak,13.1809,32.74,30.28,7,50,6.55,SD,1712696054
141,iskateley,67.6803,53.1512,-8.32,85,100,2.24,RU,1712696054
142,maumere,-8.6199,122.2111,26.35,82,97,0.93,ID,1712696055
143,kirkwood,38.5834,-90.4068,23.16,42,75,2.24,US,1712695979
144,lebu,-37.6167,-73.65,11.89,68,85,10.0,CL,1712696055
145,caconda,-13.7333,15.0667,16.69,92,100,1.07,AO,1712696055
146,atafu village,-8.5421,-172.5159,30.26,74,90,7.33,TK,1712696055
147,poronaysk,49.2167,143.1167,-0.38,68,79,3.11,RU,1712696055
148,daru,-9.0763,143.2092,25.7,89,100,2.83,PG,1712696055
149,tsiombe,-25.3,45.4833,23.36,97,100,0.67,MG,1712696055
150,kovdor,67.5662,30.4758,0.62,96,100,2.49,RU,1712695984
151,vilyuysk,63.7553,121.6247,-11.67,97,58,2.68,RU,1712696055
152,al ghayzah,16.2079,52.176,26.55,73,100,4.03,YE,1712696055
153,nogliki,51.8333,143.1667,-3.14,90,13,2.24,RU,1712696056
154,san fernando,15.0286,120.6898,27.85,83,95,1.84,PH,1712696056
155,klyuchi,52.2667,79.1667,5.8,93,100,3.69,RU,1712696056
156,vilyuchinsk,52.9306,158.4028,3.29,99,100,2.51,RU,1712696056
